symbol,signal_date,score,signal,entry_lag,hold_days,entry_date,exit_date,entry_open,exit_close,pnl
PATH,2025-09-30,2,LONG,2,20,2025-10-02,2025-10-30,13.079999923706055,15.869999885559082,0.21330275062131007
S,2025-09-30,2,LONG,2,20,2025-10-02,2025-10-30,17.530000686645508,17.010000228881836,-0.029663459064198
SNAP,2025-09-30,2,LONG,2,20,2025-10-02,2025-10-30,7.829999923706055,7.599999904632568,-0.029374204510160956
TWLO,2025-09-30,2,LONG,2,20,2025-10-02,2025-10-30,102.19999694824219,112.86000061035156,0.1043053227047354
WOLF,2025-09-30,3,LONG,2,20,2025-10-02,2025-10-30,25.06999969482422,26.15999984741211,0.04347826748529736
XYL,2025-09-30,2,LONG,2,20,2025-10-02,2025-10-30,148.49000549316406,151.52999877929688,0.02047271313672867
AFRM,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,68.91999816894531,64.72000122070312,-0.06094017788489533
AI,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,26.149999618530273,26.290000915527344,0.0053537781659416675
APP,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,332.0,335.1000061035156,0.009337367781673569
BE,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,22.809999465942383,25.399999618530273,0.11354669939624595
COIN,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,350.3500061035156,387.05999755859375,0.1047809071372805
DOCN,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,28.700000762939453,28.229999542236328,-0.016376348718082315
FSLR,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,178.0,162.44000244140625,-0.0874157166213132
GOOGL,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,178.5,180.19000244140625,0.009467800792191877
GTLB,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,45.47999954223633,42.029998779296875,-0.0758575373277106
HOOD,2025-06-30,3,LONG,3,5,2025-07-03,2025-07-11,95.48999786376953,98.33999633789062,0.02984604186699254
INTC,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,22.149999618530273,23.43000030517578,0.05778784237877292
KTOS,2025-06-30,3,LONG,3,5,2025-07-03,2025-07-11,43.91999816894531,51.709999084472656,0.17736796995213563
MSTR,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,400.8699951171875,434.5799865722656,0.08409207939153338
NTDOY,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,22.709999084472656,21.399999618530273,-0.05768381852723452
NU,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,13.569999694824219,12.829999923706055,-0.05453204036551379
ORCL,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,233.22000122070312,230.55999755859375,-0.011405555476316687
PLUG,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,1.4299999475479126,1.6200000047683716,0.1328671777549789
ROKU,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,87.95999908447266,88.98999786376953,0.01170985436582045
RUN,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,9.164999961853027,10.109999656677246,0.10310962343235557
S,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,18.25,17.290000915527344,-0.05260268956014555
SHOP,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,114.9800033569336,112.11000061035156,-0.02496088591746386
SHOP,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,114.9800033569336,112.11000061035156,-0.02496088591746386
